id;mac_address;hostname;comment
1;00:0e:08:2a:06:5a;Sipuraspa;phone
2;9c:ad:97:db:fc:43;joshscomputer;joshuas
3;00:08:74:2e:bf:89;mythubuntu;myth box
4;fc:db:b3:63:75:99;android-2db8fd693e586118;unknown
5;14:2d:27:50:02:a3;_boss_-pc;Daniels Computer
6;80:d2:1d:15:8d:54;chromecast;
7;00:1a:ef:17:bc:ca;lenovo;
8;9c:ad:97:db:fc:43;unknown;
9;b0:34:95:9c:63:14;Daniels Phone;	
10;b0:34:95:9f:12:86;iphone;
11;90:21:55:bc:e3:f6;android_359637035811609;	
12;78:4b:87:72:0e:bb;android-c708e4c755b2f685;	
13;08:3d:88:ad:1e:8d;android-a1aa648d1b13a09f;	
14;00:1f:e1:67:34:12;Donnas Laptop;
15;B0:34:95:9F:12:86;JoshsPhone;
